iter	Passed	Remaining
872	1596	232
873	1598	230
874	1599	228
875	1601	226
876	1603	224
877	1605	223
878	1607	221
879	1609	219
880	1610	217
881	1612	215
882	1613	213
883	1615	211
884	1616	210
885	1618	208
886	1620	206
887	1622	204
888	1623	202
889	1625	200
890	1626	199
891	1628	197
892	1630	195
893	1631	193
894	1634	191
895	1636	189
896	1638	188
897	1640	186
898	1642	184
899	1643	182
900	1645	180
901	1646	178
902	1648	177
903	1653	175
904	1655	173
905	1657	171
906	1659	170
907	1661	168
908	1663	166
909	1665	164
910	1667	162
911	1669	161
912	1670	159
913	1672	157
914	1674	155
915	1675	153
916	1677	151
917	1679	150
918	1681	148
919	1683	146
920	1684	144
921	1686	142
922	1688	140
923	1689	138
924	1691	137
925	1692	135
926	1694	133
927	1696	131
928	1698	129
929	1700	127
930	1702	126
931	1703	124
932	1705	122
933	1707	120
934	1709	118
935	1711	117
936	1713	115
937	1715	113
938	1716	111
939	1718	109
940	1719	107
941	1721	105
942	1723	104
943	1728	102
944	1730	100
945	1731	98
946	1733	97
947	1735	95
948	1737	93
949	1738	91
950	1741	89
951	1743	87
952	1745	86
953	1746	84
954	1748	82
955	1750	80
956	1752	78
957	1753	76
958	1755	75
959	1757	73
960	1759	71
961	1761	69
962	1763	67
963	1764	65
964	1766	64
965	1768	62
966	1770	60
967	1773	58
968	1775	56
969	1777	54
970	1778	53
971	1780	51
972	1782	49
973	1784	47
974	1786	45
975	1789	43
976	1790	42
977	1792	40
978	1793	38
979	1795	36
980	1797	34
981	1798	32
982	1800	31
983	1803	29
984	1804	27
985	1806	25
986	1808	23
987	1809	21
988	1811	20
989	1812	18
990	1814	16
991	1817	14
992	1819	12
993	1820	10
994	1822	9
995	1824	7
996	1825	5
997	1827	3
998	1829	1
999	1830	0
